"delivery_id";"letter_id";"warehouse_id";"delivery_status";"send_date";"delivery_date"
"1";"1";"125";"доставлен";"2024-12-30";"2024-12-31"
"2";"2";"65";"сборка";NULL;NULL
"3";"3";"22";"сборка";NULL;NULL
"4";"4";"58";"доставлен";"2024-12-14";"2024-12-15"
"5";"5";"58";"доставляется";"2024-12-07";NULL
"6";"6";"12";"доставляется";"2024-12-21";NULL
"7";"7";"99";"сборка";NULL;NULL
"8";"8";"46";"доставлен";"2024-12-01";"2024-12-03"
"9";"9";"146";"доставлен";"2024-12-06";"2024-12-08"
"10";"10";"12";"доставлен";"2024-12-26";"2024-12-28"
"11";"11";"43";"доставляется";"2024-12-19";NULL
"12";"12";"100";"сборка";NULL;NULL
"13";"13";"12";"доставлен";"2024-12-02";"2024-12-09"
"14";"14";"89";"доставлен";"2024-12-28";"2024-12-29"
"15";"15";"22";"доставляется";"2024-12-15";NULL
"16";"16";"42";"сборка";NULL;NULL
"17";"17";"147";"доставлен";"2024-12-29";"2024-12-31"
"18";"18";"97";"сборка";NULL;NULL
"19";"19";"94";"сборка";NULL;NULL
"20";"20";"33";"сборка";NULL;NULL
"21";"21";"71";"доставляется";"2024-12-06";NULL
"22";"22";"101";"доставляется";"2024-12-05";NULL
"23";"23";"52";"сборка";NULL;NULL
"24";"24";"52";"доставляется";"2024-12-25";NULL
"25";"25";"130";"сборка";NULL;NULL
"26";"26";"7";"доставлен";"2024-12-13";"2024-12-21"
"27";"27";"45";"доставляется";"2024-12-28";NULL
"28";"28";"15";"доставляется";"2024-12-28";NULL
"29";"29";"9";"доставляется";"2024-12-21";NULL
"30";"30";"142";"доставляется";"2024-12-27";NULL
"31";"31";"61";"сборка";NULL;NULL
"32";"32";"101";"доставлен";"2024-12-30";"2024-12-31"
"33";"33";"92";"доставляется";"2024-12-19";NULL
"34";"34";"50";"доставляется";"2024-12-18";NULL
"35";"35";"36";"доставлен";"2024-12-31";"2024-12-31"
"36";"36";"81";"доставляется";"2024-12-15";NULL
"37";"37";"13";"сборка";NULL;NULL
"38";"38";"76";"доставляется";"2024-12-09";NULL
"39";"39";"16";"доставлен";"2024-12-16";"2024-12-22"
"40";"40";"73";"доставлен";"2024-12-24";"2024-12-25"
"41";"41";"62";"сборка";NULL;NULL
"42";"42";"76";"сборка";NULL;NULL
"43";"43";"67";"сборка";NULL;NULL
"44";"44";"23";"сборка";NULL;NULL
"45";"45";"49";"сборка";NULL;NULL
"46";"46";"44";"сборка";NULL;NULL
"47";"47";"52";"доставлен";"2024-12-15";"2024-12-18"
"48";"48";"67";"доставляется";"2024-12-11";NULL
"49";"49";"113";"доставляется";"2024-12-10";NULL
"50";"50";"88";"доставлен";"2024-12-09";"2024-12-11"
"51";"51";"141";"доставляется";"2024-12-21";NULL
"52";"52";"76";"доставлен";"2024-12-01";"2024-12-06"
"53";"53";"86";"сборка";NULL;NULL
"54";"54";"82";"доставлен";"2024-12-23";"2024-12-30"
"55";"55";"133";"доставляется";"2024-12-25";NULL
"56";"56";"43";"сборка";NULL;NULL
"57";"57";"10";"доставляется";"2024-12-20";NULL
"58";"58";"5";"доставляется";"2024-12-09";NULL
"59";"59";"149";"доставлен";"2024-12-23";"2024-12-31"
"60";"60";"91";"сборка";NULL;NULL
"61";"61";"136";"сборка";NULL;NULL
"62";"62";"78";"доставляется";"2024-12-03";NULL
"63";"63";"109";"доставлен";"2024-12-06";"2024-12-12"
"64";"64";"8";"сборка";NULL;NULL
"65";"65";"63";"доставлен";"2024-12-28";"2024-12-31"
"66";"66";"84";"сборка";NULL;NULL
"67";"67";"2";"доставляется";"2024-12-08";NULL
"68";"68";"71";"сборка";NULL;NULL
"69";"69";"145";"сборка";NULL;NULL
"70";"70";"108";"сборка";NULL;NULL
"71";"71";"60";"отменен";NULL;NULL
"72";"72";"69";"доставляется";"2024-12-11";NULL
"73";"73";"128";"доставлен";"2024-12-01";"2024-12-03"
"74";"74";"106";"сборка";NULL;NULL
"75";"75";"100";"доставляется";"2024-12-31";NULL
"76";"76";"72";"сборка";NULL;NULL
"77";"77";"97";"сборка";NULL;NULL
"78";"78";"93";"сборка";NULL;NULL
"79";"79";"42";"доставлен";"2024-12-27";"2024-12-31"
"80";"80";"11";"доставлен";"2024-12-24";"2024-12-31"
"81";"81";"24";"сборка";NULL;NULL
"82";"82";"102";"доставлен";"2024-12-23";"2024-12-28"
"83";"83";"19";"сборка";NULL;NULL
"84";"84";"78";"сборка";NULL;NULL
"85";"85";"84";"доставляется";"2024-12-10";NULL
"86";"86";"9";"доставлен";"2024-12-30";"2024-12-31"
"87";"87";"103";"доставлен";"2024-12-23";"2024-12-24"
"88";"88";"126";"сборка";NULL;NULL
"89";"89";"111";"доставлен";"2024-12-11";"2024-12-16"
"90";"90";"118";"доставлен";"2024-12-24";"2024-12-29"
"91";"91";"41";"доставляется";"2024-12-25";NULL
"92";"92";"102";"доставлен";"2024-12-01";"2024-12-07"
"93";"93";"58";"сборка";NULL;NULL
"94";"94";"53";"сборка";NULL;NULL
"95";"95";"25";"доставляется";"2024-12-01";NULL
"96";"96";"133";"доставлен";"2024-12-07";"2024-12-12"
"97";"97";"105";"сборка";NULL;NULL
"98";"98";"146";"доставляется";"2024-12-30";NULL
"99";"99";"142";"доставлен";"2024-12-10";"2024-12-15"
"100";"100";"47";"доставляется";"2024-12-03";NULL
"101";"101";"84";"сборка";NULL;NULL
"102";"102";"112";"доставляется";"2024-12-16";NULL
"103";"103";"83";"доставляется";"2024-12-13";NULL
"104";"104";"104";"доставлен";"2024-12-23";"2024-12-26"
"105";"105";"86";"доставляется";"2024-12-22";NULL
"106";"106";"112";"доставляется";"2024-12-21";NULL
"107";"107";"146";"сборка";NULL;NULL
"108";"108";"103";"сборка";NULL;NULL
"109";"109";"63";"сборка";NULL;NULL
"110";"110";"45";"доставлен";"2024-12-05";"2024-12-07"
"111";"111";"128";"сборка";NULL;NULL
"112";"112";"149";"сборка";NULL;NULL
"113";"113";"94";"доставлен";"2024-12-22";"2024-12-23"
"114";"114";"33";"сборка";NULL;NULL
"115";"115";"50";"доставляется";"2024-12-21";NULL
"116";"116";"75";"сборка";NULL;NULL
"117";"117";"126";"доставляется";"2024-12-24";NULL
"118";"118";"149";"доставляется";"2024-12-19";NULL
"119";"119";"146";"доставлен";"2024-12-11";"2024-12-17"
"120";"120";"134";"доставляется";"2024-12-09";NULL
"121";"121";"120";"сборка";NULL;NULL
"122";"122";"23";"доставляется";"2024-12-17";NULL
"123";"123";"67";"сборка";NULL;NULL
"124";"124";"112";"доставляется";"2024-12-02";NULL
"125";"125";"54";"доставляется";"2024-12-07";NULL
"126";"126";"121";"доставлен";"2024-12-03";"2024-12-09"
"127";"127";"126";"сборка";NULL;NULL
"128";"128";"147";"сборка";NULL;NULL
"129";"129";"137";"доставляется";"2024-12-19";NULL
"130";"130";"119";"доставляется";"2024-12-19";NULL
"131";"131";"122";"сборка";NULL;NULL
"132";"132";"100";"сборка";NULL;NULL
"133";"133";"67";"сборка";NULL;NULL
"134";"134";"144";"сборка";NULL;NULL
"135";"135";"7";"отменен";NULL;NULL
"136";"136";"70";"сборка";NULL;NULL
"137";"137";"150";"доставлен";"2024-12-07";"2024-12-14"
"138";"138";"98";"отменен";NULL;NULL
"139";"139";"28";"доставляется";"2024-12-16";NULL
"140";"140";"16";"сборка";NULL;NULL
"141";"141";"133";"доставлен";"2024-12-14";"2024-12-22"
"142";"142";"94";"доставляется";"2024-12-03";NULL
"143";"143";"13";"доставляется";"2024-12-29";NULL
"144";"144";"82";"сборка";NULL;NULL
"145";"145";"65";"доставляется";"2024-12-09";NULL
"146";"146";"84";"доставляется";"2024-12-28";NULL
"147";"147";"36";"сборка";NULL;NULL
"148";"148";"17";"сборка";NULL;NULL
"149";"149";"41";"доставляется";"2024-12-25";NULL
"150";"150";"15";"доставлен";"2024-12-12";"2024-12-17"
"151";"151";"59";"доставлен";"2024-12-22";"2024-12-24"
"152";"152";"54";"сборка";NULL;NULL
"153";"153";"97";"доставлен";"2024-12-19";"2024-12-26"
"154";"154";"39";"доставлен";"2024-12-24";"2024-12-29"
"155";"155";"103";"доставлен";"2024-12-13";"2024-12-20"
"156";"156";"65";"доставляется";"2024-12-15";NULL
"157";"157";"25";"доставлен";"2024-12-18";"2024-12-25"
"158";"158";"10";"доставлен";"2024-12-25";"2024-12-31"
"159";"159";"91";"доставлен";"2024-12-10";"2024-12-17"
"160";"160";"140";"доставляется";"2024-12-20";NULL
"161";"161";"70";"сборка";NULL;NULL
"162";"162";"72";"доставлен";"2024-12-05";"2024-12-06"
"163";"163";"137";"доставляется";"2024-12-15";NULL
"164";"164";"67";"сборка";NULL;NULL
"165";"165";"17";"сборка";NULL;NULL
"166";"166";"139";"доставляется";"2024-12-12";NULL
"167";"167";"24";"доставляется";"2024-12-02";NULL
"168";"168";"75";"доставлен";"2024-12-11";"2024-12-12"
"169";"169";"144";"сборка";NULL;NULL
"170";"170";"150";"доставлен";"2024-12-24";"2024-12-31"
"171";"171";"72";"доставляется";"2024-12-17";NULL
"172";"172";"77";"доставляется";"2024-12-09";NULL
"173";"173";"69";"доставляется";"2024-12-20";NULL
"174";"174";"73";"доставлен";"2024-12-14";"2024-12-17"
"175";"175";"29";"доставляется";"2024-12-26";NULL
"176";"176";"21";"сборка";NULL;NULL
"177";"177";"113";"сборка";NULL;NULL
"178";"178";"119";"доставлен";"2024-12-15";"2024-12-22"
"179";"179";"50";"доставляется";"2024-12-22";NULL
"180";"180";"34";"доставлен";"2024-12-15";"2024-12-23"
"181";"181";"148";"сборка";NULL;NULL
"182";"182";"77";"сборка";NULL;NULL
"183";"183";"111";"доставлен";"2024-12-23";"2024-12-25"
"184";"184";"111";"доставляется";"2024-12-26";NULL
"185";"185";"85";"доставлен";"2024-12-15";"2024-12-23"
"186";"186";"105";"доставляется";"2024-12-03";NULL
"187";"187";"82";"сборка";NULL;NULL
"188";"188";"141";"доставляется";"2024-12-21";NULL
"189";"189";"2";"доставляется";"2024-12-22";NULL
"190";"190";"37";"доставляется";"2024-12-31";NULL
"191";"191";"30";"сборка";NULL;NULL
"192";"192";"98";"сборка";NULL;NULL
"193";"193";"136";"доставлен";"2024-12-23";"2024-12-26"
"194";"194";"16";"доставлен";"2024-12-26";"2024-12-28"
"195";"195";"28";"сборка";NULL;NULL
"196";"196";"74";"доставляется";"2024-12-07";NULL
"197";"197";"13";"доставляется";"2024-12-29";NULL
"198";"198";"45";"доставляется";"2024-12-29";NULL
"199";"199";"55";"доставляется";"2024-12-13";NULL
"200";"200";"9";"сборка";NULL;NULL
"201";"201";"33";"доставлен";"2024-12-12";"2024-12-15"
"202";"202";"11";"доставляется";"2024-12-01";NULL
"203";"203";"86";"доставлен";"2024-12-04";"2024-12-08"
"204";"204";"24";"сборка";NULL;NULL
"205";"205";"29";"доставлен";"2024-12-14";"2024-12-21"
"206";"206";"85";"доставляется";"2024-12-16";NULL
"207";"207";"12";"доставляется";"2024-12-09";NULL
"208";"208";"12";"доставляется";"2024-12-11";NULL
"209";"209";"3";"доставляется";"2024-12-06";NULL
"210";"210";"94";"доставлен";"2024-12-20";"2024-12-27"
"211";"211";"135";"доставлен";"2024-12-06";"2024-12-14"
"212";"212";"36";"доставляется";"2024-12-17";NULL
"213";"213";"100";"доставляется";"2024-12-04";NULL
"214";"214";"101";"сборка";NULL;NULL
"215";"215";"149";"доставляется";"2024-12-25";NULL
"216";"216";"20";"сборка";NULL;NULL
"217";"217";"67";"сборка";NULL;NULL
"218";"218";"124";"сборка";NULL;NULL
"219";"219";"98";"доставляется";"2024-12-23";NULL
"220";"220";"135";"доставляется";"2024-12-02";NULL
"221";"221";"38";"доставлен";"2024-12-06";"2024-12-12"
"222";"222";"94";"доставляется";"2024-12-02";NULL
"223";"223";"41";"доставлен";"2024-12-06";"2024-12-13"
"224";"224";"79";"доставлен";"2024-12-02";"2024-12-03"
"225";"225";"146";"сборка";NULL;NULL
"226";"226";"8";"доставляется";"2024-12-28";NULL
"227";"227";"104";"доставляется";"2024-12-11";NULL
"228";"228";"85";"доставляется";"2024-12-21";NULL
"229";"229";"72";"сборка";NULL;NULL
"230";"230";"104";"сборка";NULL;NULL
"231";"231";"37";"доставляется";"2024-12-27";NULL
"232";"232";"34";"сборка";NULL;NULL
