"stock_id";"warehouse_id";"gift_id";"quantity"
"1";"1";"1";"74"
"2";"1";"2";"76"
"3";"1";"3";"4"
"4";"1";"4";"79"
"5";"1";"5";"20"
"6";"1";"6";"53"
"7";"1";"7";"19"
"8";"1";"8";"56"
"9";"1";"9";"80"
"10";"1";"10";"10"
"11";"1";"11";"66"
"12";"1";"12";"21"
"13";"1";"13";"87"
"14";"1";"14";"85"
"15";"1";"15";"11"
"16";"1";"16";"92"
"17";"1";"17";"72"
"18";"1";"18";"84"
"19";"1";"19";"80"
"20";"1";"20";"39"
"21";"1";"21";"57"
"22";"1";"22";"58"
"23";"1";"23";"39"
"24";"1";"24";"57"
"25";"1";"25";"98"
"26";"1";"26";"82"
"27";"1";"27";"23"
"28";"1";"28";"22"
"29";"1";"29";"18"
"30";"1";"30";"47"
"31";"1";"31";"85"
"32";"1";"32";"20"
"33";"1";"33";"19"
"34";"1";"34";"37"
"35";"1";"35";"18"
"36";"1";"36";"38"
"37";"1";"37";"90"
"38";"1";"38";"21"
"39";"1";"39";"92"
"40";"1";"40";"52"
"41";"1";"41";"33"
"42";"1";"42";"89"
"43";"1";"43";"48"
"44";"1";"44";"92"
"45";"1";"45";"21"
"46";"1";"46";"12"
"47";"1";"47";"52"
"48";"1";"48";"45"
"49";"1";"49";"40"
"50";"1";"50";"68"
"51";"1";"51";"52"
"52";"1";"52";"56"
"53";"1";"53";"58"
"54";"1";"54";"50"
"55";"1";"55";"46"
"56";"1";"56";"79"
"57";"1";"57";"35"
"58";"1";"58";"73"
"59";"1";"59";"81"
"60";"1";"60";"54"
"61";"1";"61";"39"
"62";"1";"62";"65"
"63";"1";"63";"51"
"64";"1";"64";"48"
"65";"1";"65";"60"
"66";"1";"66";"76"
"67";"1";"67";"89"
"68";"1";"68";"13"
"69";"1";"69";"17"
"70";"1";"70";"66"
"71";"1";"71";"71"
"72";"1";"72";"28"
"73";"1";"73";"32"
"74";"1";"74";"33"
"75";"1";"75";"31"
"76";"1";"76";"44"
"77";"1";"77";"55"
"78";"1";"78";"89"
"79";"1";"79";"12"
"80";"1";"80";"79"
"81";"1";"81";"36"
"82";"1";"82";"10"
"83";"1";"83";"72"
"84";"1";"84";"52"
"85";"1";"85";"46"
"86";"1";"86";"69"
"87";"1";"87";"11"
"88";"1";"88";"59"
"89";"1";"89";"70"
"90";"1";"90";"39"
"91";"1";"91";"59"
"92";"1";"92";"84"
"93";"1";"93";"91"
"94";"1";"94";"33"
"95";"1";"95";"78"
"96";"1";"96";"69"
"97";"1";"97";"61"
"98";"1";"98";"73"
"99";"1";"99";"27"
"100";"1";"100";"14"
"101";"2";"1";"53"
"102";"2";"2";"33"
"103";"2";"3";"4"
"104";"2";"4";"41"
"105";"2";"5";"41"
"106";"2";"6";"43"
"107";"2";"7";"0"
"108";"2";"8";"16"
"109";"2";"9";"66"
"110";"2";"10";"11"
"111";"2";"11";"48"
"112";"2";"12";"10"
"113";"2";"13";"89"
"114";"2";"14";"90"
"115";"2";"15";"61"
"116";"2";"16";"71"
"117";"2";"17";"70"
"118";"2";"18";"90"
"119";"2";"19";"66"
"120";"2";"20";"29"
"121";"2";"21";"46"
"122";"2";"22";"16"
"123";"2";"23";"99"
"124";"2";"24";"51"
"125";"2";"25";"30"
"126";"2";"26";"14"
"127";"2";"27";"11"
"128";"2";"28";"16"
"129";"2";"29";"58"
"130";"2";"30";"23"
"131";"2";"31";"74"
"132";"2";"32";"42"
"133";"2";"33";"61"
"134";"2";"34";"56"
"135";"2";"35";"48"
"136";"2";"36";"91"
"137";"2";"37";"91"
"138";"2";"38";"71"
"139";"2";"39";"85"
"140";"2";"40";"61"
"141";"2";"41";"35"
"142";"2";"42";"92"
"143";"2";"43";"87"
"144";"2";"44";"98"
"145";"2";"45";"38"
"146";"2";"46";"36"
"147";"2";"47";"46"
"148";"2";"48";"59"
"149";"2";"49";"99"
"150";"2";"50";"96"
"151";"2";"51";"40"
"152";"2";"52";"89"
"153";"2";"53";"74"
"154";"2";"54";"33"
"155";"2";"55";"77"
"156";"2";"56";"44"
"157";"2";"57";"68"
"158";"2";"58";"54"
"159";"2";"59";"24"
"160";"2";"60";"30"
"161";"2";"61";"24"
"162";"2";"62";"59"
"163";"2";"63";"61"
"164";"2";"64";"55"
"165";"2";"65";"17"
"166";"2";"66";"38"
"167";"2";"67";"65"
"168";"2";"68";"69"
"169";"2";"69";"92"
"170";"2";"70";"20"
"171";"2";"71";"99"
"172";"2";"72";"97"
"173";"2";"73";"50"
"174";"2";"74";"53"
"175";"2";"75";"67"
"176";"2";"76";"30"
"177";"2";"77";"100"
"178";"2";"78";"26"
"179";"2";"79";"18"
"180";"2";"80";"87"
"181";"2";"81";"19"
"182";"2";"82";"88"
